stress_module,mito_module,IFN_module,Ig_module,stress_marsh,stress_vanhove,stress_brink,stress_denisenko
,ALAS2,,IGHV1OR15-1,,IFRD1,IER5,
,ALDH18A1,,IGHV1OR15-2,,BAMBI,EGR1,
,ALDH1B1,,IGHV1OR15-3,,ZFP36L2,TNFAIP3,
,ALDH1L1,,IGHV1OR15-4,,EIF4A1,MAFK,
,ALDH1L2,,IGHV1OR15-6,,CDKN1A,TPM3,
,ALDH2,,IGHV1OR15-9,,ETF1,UBC,
,ALDH3A2,,IGHV1OR16-1,,ATF4,KCNE4,
,ALDH4A1,,IGHV1OR16-2,,SQSTM1,PCF11,
,ALDH5A1,,IGHV1OR16-3,,LMNB1,JUNB,
,ALDH6A1,,IGHV1OR16-4,,ZFP36,DUSP1,
,ALDH7A1,,IGHV1OR21-1,,TSC22D3,PDE4B,
,ALDH9A1,,IGHV2-10,,SLC25A33,PPP1CC,
,ALKBH1,,IGHV2-26,,GEM,LM,
,ALKBH3,,IGHV2-5,,DUSP5,ZYX,
,ALKBH7,,IGHV2-70,,CITED2,DDX5,
,AMACR,,IGHV2OR16-5,,HILPDA,ARID5A,
,AMT,,IGHV3-11,,CHD7,TRA2B,
,ANGEL2,,IGHV3-13,,DUSP2,EIF1,
,APEX2,,IGHV3-15,,ARRDC3,PER1,
,APOA1BP,,IGHV3-16,,SUB1,LITAF,
,APOO,,IGHV3-19,,CYTIP,ID3,
,APOOL,,IGHV3-20,,STK17B,STAT3,
,APOPT1,,IGHV3-21,,KLF2,RASSF1,
,ARF5,,IGHV3-22,,PNRC1,IRF1,
,ARG2,,IGHV3-23,,CEBPB,SOCS3,
,ARL2,,IGHV3-25,,KCTD12,MYADM,
,ARMC10,,IGHV3-29,,PLAUR,ATF3,
,ARMS2,,IGHV3-30,,TRIB1,ODC1,
,ASAH2,,IGHV3-30-2,,C5AR1,SLC41A1,
,ATAD1,,IGHV3-32,,FOSL2,ACTG1,
,ATAD3A,,IGHV3-33,,PLEK,TIPARP,
,ATAD3B,,IGHV3-33-2,,EMD,MIDN,
,ATIC,,IGHV3-35,,FTL,JUN,
,ATP10D,,IGHV3-36,,HIVEP2,MT1G,
,ATP5A1,,IGHV3-37,,BHLHE40,CCNL1,
,ATP5B,,IGHV3-38,,NFKBIZ,RHOB,
,ATP5C1,,IGHV3-41,,CCRL2,MYD88,
,ATP5D,,IGHV3-42,,ADRB2,EGR2,
,ATP5E,,IGHV3-43,,KLF10,NR4A1,
,ATP5F1,,IGHV3-47,,NLRP3,TAGLN2,
,ATP5G1,,IGHV3-48,,SLC3A2,DJB1,
,ATP5G2,,IGHV3-49,,MARCKSL1,ZC3H12A,
,ATP5G3,,IGHV3-50,,VPS37B,USP2,
,ATP5H,,IGHV3-52,,TNFAIP3,TNFAIP6,
,ATP5I,,IGHV3-53,,CGGBP1,NPPC,
,ATP5J,,IGHV3-54,,PTP4A1,H3-3B,
,ATP5J2,,IGHV3-57,,NFKBID,ERF,
,ATP5J2-PTCD1,,IGHV3-6,,CD86,PHLDA1,
,ATP5L,,IGHV3-60,,SPAG9,JUND,
,ATP5O,,IGHV3-62,,NDEL1,TRA2A,
,ATP5S,,IGHV3-63,,GADD45B,TPPP3,
,ATP5SL,,IGHV3-64,,MAT2A,IER2,
,ATP6,,IGHV3-65,,NR4A2,MCL1,
,ATP8,,IGHV3-66,,DUSP1,,
,ATPAF1,,IGHV3-7,,DDX5,,
,ATPAF2,,IGHV3-71,,LITAF,,
,ATPIF1,,IGHV3-72,,UBALD2,,
,ATXN2,,IGHV3-73,,TRA2B,,
,AUH,,IGHV3-74,,PER1,,
,AURKAIP1,,IGHV3-75,,EIF1,,
,BAD,,IGHV3-76,,ETV3,,
,BAK1,,IGHV3-79,,ARID5A,,
,BAX,,IGHV3-9,,GTF2B,,
,BCAT2,,IGHV3OR15-7,,SOCS3,,
,BCKDHA,,IGHV3OR16-10,,RGS2,,
,BCKDHB,,IGHV3OR16-11,,ODC1,,
,BCKDK,,IGHV3OR16-12,,JUN,,
,BCL2,,IGHV3OR16-13,,JMJD1C,,
,BCL2L1,,IGHV3OR16-15,,MT1G,,
,BCL2L13,,IGHV3OR16-6,,TIPARP,,
,BCL2L2,,IGHV3OR16-7,,RHOB,,
,BCS1L,,IGHV3OR16-8,,PLK2,,
