stress_module,mito_module,IFN_module,Ig_module,stress_marsh,stress_vanhove,stress_brink,stress_denisenko
,MRPL3P1,,,,,,
,MRPL4,,,,,,
,MRPL40,,,,,,
,MRPL40P1,,,,,,
,MRPL41,,,,,,
,MRPL42,,,,,,
,MRPL42P2,,,,,,
,MRPL42P3,,,,,,
,MRPL42P4,,,,,,
,MRPL42P6,,,,,,
,MRPL43,,,,,,
,MRPL44,,,,,,
,MRPL45,,,,,,
,MRPL45P1,,,,,,
,MRPL45P2,,,,,,
,MRPL46,,,,,,
,MRPL47,,,,,,
,MRPL48,,,,,,
,MRPL48P1,,,,,,
,MRPL49,,,,,,
,MRPL49P1,,,,,,
,MRPL49P2,,,,,,
,MRPL50,,,,,,
,MRPL50P1,,,,,,
,MRPL50P2,,,,,,
,MRPL50P4,,,,,,
,MRPL51,,,,,,
,MRPL51P2,,,,,,
,MRPL52,,,,,,
,MRPL53,,,,,,
,MRPL53P1,,,,,,
,MRPL54,,,,,,
,MRPL55,,,,,,
,MRPL57,,,,,,
,MRPL9,,,,,,
,MRPL9P1,,,,,,
,MRPS10,,,,,,
,MRPS10P1,,,,,,
,MRPS10P2,,,,,,
,MRPS11,,,,,,
,MRPS11P1,,,,,,
,MRPS12,,,,,,
,MRPS14,,,,,,
,MRPS15,,,,,,
,MRPS15P1,,,,,,
,MRPS16,,,,,,
,MRPS16P1,,,,,,
,MRPS16P2,,,,,,
,MRPS16P3,,,,,,
,MRPS17,,,,,,
,MRPS17P1,,,,,,
,MRPS17P3,,,,,,
,MRPS17P9,,,,,,
,MRPS18A,,,,,,
,MRPS18AP1,,,,,,
,MRPS18B,,,,,,
,MRPS18BP1,,,,,,
,MRPS18BP2,,,,,,
,MRPS18C,,,,,,
,MRPS18CP4,,,,,,
,MRPS18CP6,,,,,,
,MRPS2,,,,,,
,MRPS21,,,,,,
,MRPS21P1,,,,,,
,MRPS21P2,,,,,,
,MRPS21P3,,,,,,
,MRPS21P6,,,,,,
,MRPS21P7,,,,,,
,MRPS21P8,,,,,,
,MRPS21P9,,,,,,
,MRPS22,,,,,,
,MRPS23,,,,,,
,MRPS24,,,,,,
,MRPS25,,,,,,
,MRPS26,,,,,,
,MRPS27,,,,,,
,MRPS28,,,,,,
,MRPS30,,,,,,
,MRPS31,,,,,,
,MRPS31P2,,,,,,
,MRPS31P4,,,,,,
,MRPS31P5,,,,,,
,MRPS33,,,,,,
,MRPS33P2,,,,,,
,MRPS33P3,,,,,,
,MRPS33P4,,,,,,
,MRPS34,,,,,,
,MRPS35,,,,,,
,MRPS35P2,,,,,,
,MRPS35P3,,,,,,
,MRPS36,,,,,,
,MRPS36P1,,,,,,
,MRPS36P2,,,,,,
,MRPS36P3,,,,,,
,MRPS36P4,,,,,,
,MRPS36P5,,,,,,
,MRPS5,,,,,,
,MRPS5P3,,,,,,
,MRPS5P4,,,,,,
,MRPS6,,,,,,
,MRPS6P2,,,,,,
,MRPS6P4,,,,,,
,MRPS7,,,,,,
,MRPS9,,,,,,
,MRRF,,,,,,
,MRS2,,,,,,
,MSRA,,,,,,
,MSRB2,,,,,,
,MSRB3,,,,,,
,MT-ATP6,,,,,,
,MT-ATP8,,,,,,
,MT-CO1,,,,,,
,MT-CO2,,,,,,
,MT-CO3,,,,,,
,MT-CYB,,,,,,
,MT-ND1,,,,,,
,MT-ND2,,,,,,
,MT-ND3,,,,,,
,MT-ND4,,,,,,
,MT-ND4L,,,,,,
,MT-ND5,,,,,,
,MT-ND6,,,,,,
,MT-RNR1,,,,,,
,MT-RNR2,,,,,,
,MT-TA,,,,,,
,MT-TC,,,,,,
,MT-TD,,,,,,
,MT-TE,,,,,,
,MT-TF,,,,,,
,MT-TG,,,,,,
,MT-TH,,,,,,
,MT-TI,,,,,,
,MT-TK,,,,,,
,MT-TL1,,,,,,
,MT-TL2,,,,,,
,MT-TM,,,,,,
,MT-TN,,,,,,
,MT-TP,,,,,,
,MT-TQ,,,,,,
,MT-TR,,,,,,
,MT-TS1,,,,,,
,MT-TS2,,,,,,
,MT-TT,,,,,,
,MT-TV,,,,,,
,MT-TW,,,,,,
,MT-TY,,,,,,
,MTATP6P1,,,,,,
,MTATP6P2,,,,,,
,MTATP6P3,,,,,,
,MTATP6P4,,,,,,
,MTATP6P7,,,,,,
,MTATP6P9,,,,,,
,MTATP8P1,,,,,,
,MTATP8P2,,,,,,
,MTCH1,,,,,,
,MTCH2,,,,,,
,MTCP1,,,,,,
,MTERF,,,,,,
,MTERFD1,,,,,,
,MTERFD2,,,,,,
,MTERFD3,,,,,,
,MTFMT,,,,,,
,MTFP1,,,,,,
,MTFR1,,,,,,
,MTFR1L,,,,,,
,MTG1,,,,,,
,MTG2,,,,,,
,MTHFD1,,,,,,
,MTHFD1L,,,,,,
,MTHFD2,,,,,,
,MTHFD2L,,,,,,
,MTHFS,,,,,,
,MTIF2,,,,,,
,MTIF3,,,,,,
,MTND1P1,,,,,,
,MTND1P10,,,,,,
,MTND1P11,,,,,,
,MTND1P12,,,,,,
,MTND1P13,,,,,,
,MTND1P14,,,,,,
,MTND1P15,,,,,,
,MTND1P16,,,,,,
,MTND1P17,,,,,,
,MTND1P18,,,,,,
,MTND1P19,,,,,,
,MTND1P2,,,,,,
,MTND1P20,,,,,,
,MTND1P21,,,,,,
,MTND1P22,,,,,,
,MTND1P23,,,,,,
,MTND1P24,,,,,,
,MTND1P26,,,,,,
,MTND1P27,,,,,,
,MTND1P28,,,,,,
,MTND1P29,,,,,,
,MTND1P3,,,,,,
,MTND1P30,,,,,,
,MTND1P31,,,,,,
,MTND1P32,,,,,,
,MTND1P33,,,,,,
,MTND1P34,,,,,,
,MTND1P35,,,,,,
,MTND1P36,,,,,,
,MTND1P4,,,,,,
,MTND1P5,,,,,,
,MTND1P6,,,,,,
,MTND1P7,,,,,,
,MTND1P9,,,,,,
,MTND2P11,,,,,,
,MTND2P12,,,,,,
,MTND2P14,,,,,,
,MTND2P15,,,,,,
,MTND2P16,,,,,,
,MTND2P17,,,,,,
,MTND2P18,,,,,,
,MTND2P19,,,,,,
,MTND2P2,,,,,,
,MTND2P20,,,,,,
,MTND2P21,,,,,,
,MTND2P22,,,,,,
,MTND2P23,,,,,,
,MTND2P24,,,,,,
,MTND2P25,,,,,,
,MTND2P26,,,,,,
,MTND2P28,,,,,,
,MTND2P29,,,,,,
,MTND2P3,,,,,,
,MTND2P30,,,,,,
,MTND2P31,,,,,,
,MTND2P32,,,,,,
,MTND2P33,,,,,,
,MTND2P4,,,,,,
,MTND2P5,,,,,,
,MTND2P6,,,,,,
,MTND2P7,,,,,,
,MTND2P8,,,,,,
,MTND2P9,,,,,,
,MTND3P1,,,,,,
,MTND3P10,,,,,,
,MTND3P2,,,,,,
,MTND3P3,,,,,,
,MTND3P4,,,,,,
,MTND3P5,,,,,,
,MTND3P6,,,,,,
,MTND3P7,,,,,,
,MTND3P8,,,,,,
,MTND3P9,,,,,,
,MTND4LP1,,,,,,
,MTND4P1,,,,,,
,MTND4P10,,,,,,
,MTND4P11,,,,,,
,MTND4P12,,,,,,
,MTND4P13,,,,,,
,MTND4P14,,,,,,
,MTND4P15,,,,,,
,MTND4P16,,,,,,
,MTND4P17,,,,,,
,MTND4P18,,,,,,
,MTND4P19,,,,,,
,MTND4P2,,,,,,
,MTND4P20,,,,,,
,MTND4P21,,,,,,
,MTND4P22,,,,,,
,MTND4P23,,,,,,
,MTND4P24,,,,,,
,MTND4P25,,,,,,
,MTND4P26,,,,,,
,MTND4P27,,,,,,
,MTND4P28,,,,,,
,MTND4P29,,,,,,
,MTND4P3,,,,,,
,MTND4P30,,,,,,
,MTND4P31,,,,,,
,MTND4P32,,,,,,
,MTND4P4,,,,,,
,MTND4P5,,,,,,
,MTND4P6,,,,,,
,MTND4P7,,,,,,
,MTND4P8,,,,,,
,MTND4P9,,,,,,
,MTND5P1,,,,,,
,MTND5P10,,,,,,
,MTND5P11,,,,,,
,MTND5P12,,,,,,
,MTND5P13,,,,,,
,MTND5P14,,,,,,
,MTND5P15,,,,,,
,MTND5P16,,,,,,
,MTND5P17,,,,,,
,MTND5P18,,,,,,
,MTND5P19,,,,,,
,MTND5P2,,,,,,
,MTND5P20,,,,,,
,MTND5P21,,,,,,
,MTND5P22,,,,,,
,MTND5P23,,,,,,
,MTND5P24,,,,,,
,MTND5P25,,,,,,
,MTND5P26,,,,,,
,MTND5P27,,,,,,
,MTND5P28,,,,,,
,MTND5P29,,,,,,
,MTND5P3,,,,,,
,MTND5P30,,,,,,
,MTND5P31,,,,,,
,MTND5P4,,,,,,
,MTND5P5,,,,,,
,MTND5P6,,,,,,
,MTND5P7,,,,,,
,MTND5P8,,,,,,
,MTND5P9,,,,,,
,MTND6P1,,,,,,
,MTND6P10,,,,,,
,MTND6P11,,,,,,
,MTND6P12,,,,,,
,MTND6P13,,,,,,
,MTND6P14,,,,,,
,MTND6P15,,,,,,
,MTND6P16,,,,,,
,MTND6P17,,,,,,
,MTND6P18,,,,,,
,MTND6P19,,,,,,
,MTND6P2,,,,,,
,MTND6P20,,,,,,
,MTND6P21,,,,,,
,MTND6P3,,,,,,
,MTND6P4,,,,,,
,MTND6P5,,,,,,
,MTND6P6,,,,,,
,MTND6P7,,,,,,
,MTND6P8,,,,,,
,MTND6P9,,,,,,
,MTO1,,,,,,
,MTPAP,,,,,,
,MTRF1,,,,,,
,MTRF1L,,,,,,
,MTRNR2L1,,,,,,
,MTRNR2L10,,,,,,
,MTRNR2L11,,,,,,
,MTRNR2L12,,,,,,
,MTRNR2L13,,,,,,
,MTRNR2L2,,,,,,
,MTRNR2L3,,,,,,
,MTRNR2L4,,,,,,
,MTRNR2L5,,,,,,
,MTRNR2L6,,,,,,
,MTRNR2L7,,,,,,
,MTRNR2L8,,,,,,
,MTRNR2L9,,,,,,
,MTX1,,,,,,
,MTX2,,,,,,
,MUL1,,,,,,
,MUT,,,,,,
,MUTYH,,,,,,
,NADK2,,,,,,
,NAGS,,,,,,
,NARS2,,,,,,
,NBR1,,,,,,
,NCEH1,,,,,,
,NCOA4,,,,,,
,ND1,,,,,,
,ND2,,,,,,
,ND3,,,,,,
,ND4,,,,,,
,ND4L,,,,,,
,ND5,,,,,,
,ND6,,,,,,
,NDUFA1,,,,,,
,NDUFA10,,,,,,
,NDUFA11,,,,,,
,NDUFA12,,,,,,
,NDUFA13,,,,,,
,NDUFA2,,,,,,
,NDUFA3,,,,,,
,NDUFA4,,,,,,
,NDUFA5,,,,,,
,NDUFA6,,,,,,
,NDUFA7,,,,,,
,NDUFA8,,,,,,
,NDUFA9,,,,,,
,NDUFAB1,,,,,,
,NDUFAF1,,,,,,
,NDUFAF2,,,,,,
,NDUFAF3,,,,,,
,NDUFAF4,,,,,,
,NDUFAF5,,,,,,
,NDUFAF6,,,,,,
,NDUFAF7,,,,,,
,NDUFB1,,,,,,
,NDUFB10,,,,,,
,NDUFB11,,,,,,
,NDUFB2,,,,,,
,NDUFB3,,,,,,
,NDUFB4,,,,,,
,NDUFB5,,,,,,
,NDUFB6,,,,,,
,NDUFB7,,,,,,
,NDUFB8,,,,,,
,NDUFB9,,,,,,
,NDUFC1,,,,,,
,NDUFC2,,,,,,
,NDUFS1,,,,,,
,NDUFS2,,,,,,
,NDUFS3,,,,,,
,NDUFS4,,,,,,
,NDUFS5,,,,,,
,NDUFS6,,,,,,
,NDUFS7,,,,,,
,NDUFS8,,,,,,
,NDUFV1,,,,,,
,NDUFV2,,,,,,
,NDUFV3,,,,,,
,NEU4,,,,,,
,NFS1,,,,,,
,NFU1,,,,,,
,NGRN,,,,,,
,NIF3L1,,,,,,
,NIPSNAP1,,,,,,
,NIPSNAP3A,,,,,,
,NIPSNAP3B,,,,,,
,NIT1,,,,,,
,NIT2,,,,,,
,NLN,,,,,,
,NLRX1,,,,,,
,NME3,,,,,,
,NME4,,,,,,
,NME6,,,,,,
,NMNAT3,,,,,,
,NNT,,,,,,
,NOA1,,,,,,
,NRD1,,,,,,
,NSUN3,,,,,,
,NSUN4,,,,,,
,NT5C,,,,,,
,NT5DC2,,,,,,
,NT5DC3,,,,,,
,NT5M,,,,,,
,NTHL1,,,,,,
,NUBPL,,,,,,
,NUCB2,,,,,,
,NUDT13,,,,,,
,NUDT19,,,,,,
,NUDT2,,,,,,
,NUDT5,,,,,,
,NUDT6,,,,,,
,NUDT8,,,,,,
,NUDT9,,,,,,
,OAT,,,,,,
,OBSCN,,,,,,
,OCIAD1,,,,,,
,OCIAD2,,,,,,
,OGDH,,,,,,
,OGDHL,,,,,,
,OGG1,,,,,,
,OMA1,,,,,,
,OPA1,,,,,,
,OPA3,,,,,,
,OSBPL1A,,,,,,
,OSGEPL1,,,,,,
,OTC,,,,,,
,OXA1L,,,,,,
,OXCT1,,,,,,
,OXLD1,,,,,,
,OXNAD1,,,,,,
,OXR1,,,,,,
,OXSM,,,,,,
,P4HB,,,,,,
,PABPC5,,,,,,
,PACSIN2,,,,,,
,PAICS,,,,,,
,PAK7,,,,,,
,PAM16,,,,,,
,PANK2,,,,,,
,PARK7,,,,,,
,PARL,,,,,,
,PARS2,,,,,,
,PC,,,,,,
,PCBD2,,,,,,
,PCCA,,,,,,
,PCCB,,,,,,
,PCK2,,,,,,
,PDE12,,,,,,
,PDF,,,,,,
,PDHA1,,,,,,
,PDHA2,,,,,,
,PDHB,,,,,,
,PDHX,,,,,,
,PDK1,,,,,,
,PDK2,,,,,,
,PDK3,,,,,,
,PDK4,,,,,,
,PDP1,,,,,,
,PDP2,,,,,,
,PDPR,,,,,,
,PDSS1,,,,,,
,PDSS2,,,,,,
,PET100,,,,,,
,PET112,,,,,,
,PET117,,,,,,
,PEX11B,,,,,,
,PGAM5,,,,,,
,PGS1,,,,,,
,PHB,,,,,,
,PHB2,,,,,,
,PHYH,,,,,,
,PI4KA,,,,,,
,PICK1,,,,,,
,PIF1,,,,,,
,PINK1,,,,,,
,PISD,,,,,,
,PITRM1,,,,,,
,PKLR,,,,,,
,PLGRKT,,,,,,
,PMAIP1,,,,,,
,PMPCA,,,,,,
,PMPCB,,,,,,
,PNPLA8,,,,,,
,PNPO,,,,,,
,PNPT1,,,,,,
,POLDIP2,,,,,,
,POLG,,,,,,
,POLG2,,,,,,
,POLRMT,,,,,,
,PPA2,,,,,,
,PPIF,,,,,,
,PPM1K,,,,,,
,PPOX,,,,,,
,PPTC7,,,,,,
,PPWD1,,,,,,
,PRDX2,,,,,,
,PRDX3,,,,,,
,PRDX4,,,,,,
,PRDX5,,,,,,
,PRDX6,,,,,,
,PRELID1,,,,,,
,PRELID2,,,,,,
,PREPL,,,,,,
,PRODH,,,,,,
,PRODH2,,,,,,
,PROSC,,,,,,
,PRSS35,,,,,,
,PSMA6,,,,,,
,PSTK,,,,,,
,PTCD1,,,,,,
,PTCD2,,,,,,
,PTCD3,,,,,,
,PTGES2,,,,,,
,PTPMT1,,,,,,
,PTPN4,,,,,,
,PTRH1,,,,,,
,PTRH2,,,,,,
,PTS,,,,,,
,PUS1,,,,,,
,PUSL1,,,,,,
,PXMP2,,,,,,
,PXMP4,,,,,,
,PYCR1,,,,,,
,PYCR2,,,,,,
,PYURF,,,,,,
,QDPR,,,,,,
,QRSL1,,,,,,
,QTRT1,,,,,,
,RAB11FIP5,,,,,,
,RAB24,,,,,,
,RAB32,,,,,,
,RAB35,,,,,,
,RARS,,,,,,
,RARS2,,,,,,
,RBFA,,,,,,
,RCN2,,,,,,
,RDH11,,,,,,
,RDH13,,,,,,
,RDH14,,,,,,
,RECQL4,,,,,,
,REXO2,,,,,,
,RFK,,,,,,
,RHOT1,,,,,,
,RHOT2,,,,,,
,RMDN1,,,,,,
,RMDN3,,,,,,
,RMND1,,,,,,
,RNASEH1,,,,,,
,RNMTL1,,,,,,
,ROMO1,,,,,,
,RPIA,,,,,,
,RPL10A,,,,,,
,RPL34,,,,,,
,RPL35A,,,,,,
,RPS14,,,,,,
,RPS15A,,,,,,
,RPS18,,,,,,
,RPUSD3,,,,,,
,RPUSD4,,,,,,
,RSAD1,,,,,,
,RTN4IP1,,,,,,
,SAMM50,,,,,,
,SARDH,,,,,,
,SARS2,,,,,,
,SCCPDH,,,,,,
,SCO1,,,,,,
,SCO2,,,,,,
,SCP2,,,,,,
,SDHA,,,,,,
,SDHAF1,,,,,,
,SDHAF2,,,,,,
,SDHB,,,,,,
,SDHC,,,,,,
,SDHD,,,,,,
,SDR39U1,,,,,,
,SDSL,,,,,,
,SECISBP2,,,,,,
,SELO,,,,,,
,SERAC1,,,,,,
,SERHL2,,,,,,
,SETD9,,,,,,
,SFXN1,,,,,,
,SFXN2,,,,,,
,SFXN3,,,,,,
,SFXN4,,,,,,
,SFXN5,,,,,,
,SHMT1,,,,,,
,SHMT2,,,,,,
,SIRT3,,,,,,
,SIRT4,,,,,,
,SIRT5,,,,,,
,SLC16A1,,,,,,
,SLC16A11,,,,,,
,SLC16A7,,,,,,
,SLC22A4,,,,,,
,SLC25A1,,,,,,
,SLC25A10,,,,,,
,SLC25A11,,,,,,
,SLC25A12,,,,,,
,SLC25A13,,,,,,
,SLC25A14,,,,,,
,SLC25A15,,,,,,
,SLC25A16,,,,,,
,SLC25A17,,,,,,
,SLC25A18,,,,,,
,SLC25A19,,,,,,
,SLC25A20,,,,,,
,SLC25A21,,,,,,
,SLC25A22,,,,,,
,SLC25A23,,,,,,
,SLC25A24,,,,,,
,SLC25A25,,,,,,
,SLC25A26,,,,,,
,SLC25A27,,,,,,
,SLC25A28,,,,,,
,SLC25A29,,,,,,
,SLC25A3,,,,,,
,SLC25A30,,,,,,
,SLC25A31,,,,,,
,SLC25A32,,,,,,
,SLC25A33,,,,,,
,SLC25A34,,,,,,
,SLC25A35,,,,,,
,SLC25A36,,,,,,
,SLC25A37,,,,,,
,SLC25A38,,,,,,
,SLC25A39,,,,,,
,SLC25A4,,,,,,
,SLC25A40,,,,,,
,SLC25A41,,,,,,
,SLC25A42,,,,,,
,SLC25A43,,,,,,
,SLC25A44,,,,,,
,SLC25A45,,,,,,
,SLC25A46,,,,,,
,SLC25A47,,,,,,
,SLC25A48,,,,,,
,SLC25A5,,,,,,
,SLC25A51,,,,,,
,SLC25A53,,,,,,
,SLC25A6,,,,,,
,SLC30A6,,,,,,
,SLC30A9,,,,,,
,SLC37A4,,,,,,
,SLIRP,,,,,,
,SLMO1,,,,,,
,SLMO2,,,,,,
,SMDT1,,,,,,
,SNAP29,,,,,,
,SND1,,,,,,
,SOD1,,,,,,
,SOD2,,,,,,
,SPATA19,,,,,,
,SPATA20,,,,,,
,SPG7,,,,,,
,SPR,,,,,,
,SPRYD4,,,,,,
,SPTLC2,,,,,,
,SQRDL,,,,,,
,SSBP1,,,,,,
,STAR,,,,,,
,STARD7,,,,,,
,STOM,,,,,,
,STOML1,,,,,,
,STOML2,,,,,,
,STX17,,,,,,
,SUCLA2,,,,,,
,SUCLG1,,,,,,
,SUCLG2,,,,,,
,SUGCT,,,,,,
,SUOX,,,,,,
,SUPV3L1,,,,,,
,SURF1,,,,,,
,SYNJ2BP,,,,,,
,TACO1,,,,,,
,TAMM41,,,,,,
,TARS,,,,,,
,TARS2,,,,,,
,TBRG4,,,,,,
,TCAIM,,,,,,
,TCHP,,,,,,
,TCIRG1,,,,,,
,TDRKH,,,,,,
,TEFM,,,,,,
,TFAM,,,,,,
,TFB1M,,,,,,
,TFB2M,,,,,,
,THEM4,,,,,,
,THG1L,,,,,,
,THNSL1,,,,,,
,TIMM10,,,,,,
,TIMM10B,,,,,,
,TIMM13,,,,,,
,TIMM17A,,,,,,
,TIMM17B,,,,,,
,TIMM21,,,,,,
,TIMM22,,,,,,
,TIMM23,,,,,,
,TIMM44,,,,,,
,TIMM50,,,,,,
,TIMM8A,,,,,,
,TIMM8B,,,,,,
,TIMM9,,,,,,
,TIMMDC1,,,,,,
,TK2,,,,,,
,TKT,,,,,,
,TMBIM4,,,,,,
,TMEM11,,,,,,
,TMEM126A,,,,,,
,TMEM126B,,,,,,
,TMEM143,,,,,,
,TMEM14C,,,,,,
,TMEM177,,,,,,
,TMEM186,,,,,,
,TMEM205,,,,,,
,TMEM65,,,,,,
,TMEM70,,,,,,
,TMLHE,,,,,,
,TOMM20,,,,,,
,TOMM22,,,,,,
,TOMM34,,,,,,
,TOMM40,,,,,,
,TOMM40L,,,,,,
,TOMM5,,,,,,
,TOMM6,,,,,,
,TOMM7,,,,,,
,TOMM70A,,,,,,
,TOP1MT,,,,,,
,TOP3A,,,,,,
,TPI1,,,,,,
,TRAP1,,,,,,
,TRIAP1,,,,,,
,TRIT1,,,,,,
,TRMT1,,,,,,
,TRMT10C,,,,,,
,TRMT11,,,,,,
,TRMT2B,,,,,,
,TRMT61B,,,,,,
,TRMU,,,,,,
,TRNT1,,,,,,
,TRUB2,,,,,,
,TSFM,,,,,,
,TSPO,,,,,,
,TST,,,,,,
,TSTD1,,,,,,
,TSTD3,,,,,,
,TTC19,,,,,,
,TUBB3,,,,,,
,TUFM,,,,,,
,TXN2,,,,,,
,TXNDC12,,,,,,
,TXNRD1,,,,,,
,TXNRD2,,,,,,
,TYSND1,,,,,,
,UCP1,,,,,,
,UCP2,,,,,,
,UCP3,,,,,,
,UNG,,,,,,
,UQCC1,,,,,,
,UQCC2,,,,,,
,UQCR10,,,,,,
,UQCR11,,,,,,
,UQCRB,,,,,,
,UQCRC1,,,,,,
,UQCRC2,,,,,,
,UQCRFS1,,,,,,
,UQCRH,,,,,,
,UQCRQ,,,,,,
,USMG5,,,,,,
,VARS2,,,,,,
,VDAC1,,,,,,
,VDAC2,,,,,,
,VDAC3,,,,,,
,VWA8,,,,,,
,WARS2,,,,,,
,WBSCR16,,,,,,
,WDR81,,,,,,
,XPNPEP3,,,,,,
,XRCC6BP1,,,,,,
,YARS2,,,,,,
,YBEY,,,,,,
,YME1L1,,,,,,
,ZADH2,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
